Deutsch;Englisch;Französisch;Italienisch;Spanisch
entspiegelt;with anti-reflection;anti-reflet;antibrillo;antibrillo
Raum;room (s);salle;locale;sala
Computerraum;computer room;salle d'ordinateurs;locale di calcolo;sala de ordenador
Arbeitsplatz;workplace;lieu de travail;posto di lavoro;lugar de trabajo
Rechenzentrum;computer center;centre de traitement;centro di calcolo;centro de proceso
Elektronengehirn;electronic brain;cerveau électronique;calculatore elettronico;cerebro electrónico
Daten;data;données;dati;datos
Bit;bit, binary digit;chiffre binaire;bit;dígito binario
Byte, Bitgruppe;byte (s);octet, groupe de 8 bits;byte;octeto, grupo de 8 bits
Dichte;density;densité;densità;densidad
Fluss, Datenstrom;flow (s);circulation;flusso;flujo, circulación
packen, verdichten;pack (v);condenser;condensare;condensar
binär;binary (a);binaire;binario;binario
digital;digital (a);numérique;digitale;numérico, digital
Datenstruktur;data structure;structure des données;struttura dei dati;estructura de datos
Datenbestand;data base;base de données;base dei dati;base de datos
personenbezogene Daten;personal data;données personnelles;dati personali;datos personales
Datenfluss;data flow / stream;circulation de données;flusso di dati;flujo de datos
Massendaten;mass data;données de masse;dati di massa;datos de masa
Datenbeschreibung;data description;description de données;descrizione dei dati;descripción de datos
Speicher;memory, storage;mémoire;memoria;memoria de trabajo
Bereich, Gebiet;area, zone;zone;area, zona, campo;zona, campo
Puffer;buffer (s);mémoire intermédiaire;;memoria intermedia
Adresse;address (s);adresse;indirizzo;dirección
absolut;absolute (a);absolu, réel;assoluto;absoluto, real
relativ;relative (a);relatif;relativo;relativo
Fassungsvermögen;capacity;capacité;capacità;capacidad
Kern;core (s);noyau;nucleo;núcleo
Register;register (s);registre;registro;registro
adressieren;address (v);adresser;indirizzare;direccionar, dirigir
auffrischen;refresh (v);régénérer;rigenerare;regenerar
tatsächlich;actual, real (a);réel;effettivo, reale;actual, real, de hecho
virtuell;virtual (a);virtuel;virtuale;virtual
dauerhaft;permanent (a);permanent;duraturo, costante;permanente
indirekt, mittelbar;indirect (a);indirect;indiretto;indirecto
Speichererweiterung;add-on memory;augmentation de mémoire;;ampliación de memoria
aktuelle Adresse;actual address;adresse réelle;indirizzo attuale;dirección real
Adressfehler;address error;erreur d'adresse;;error de dirección
Adressfeld;address array / field;zone d'adresse;;campo de dirección
aktiver Speicher;active storage;mémoire active;memoria attiva;memoria activa
Maschinenadresse;absolute/machine address;addresse absolue;indirizzo assoluto;dirección absoluta
Nulladresse;zero address;sans adresse;;sin dirección
Anfangsadresse;start address;adresse de démarrage;;dirección de arranque
Arbeitsspeicher;working / scratch memory;mémoire de travail, mémoire vive;;almacén operativo
virtueller Speicher;virtual memory;mémoire virtuelle;memoria virtuale;memoria activa virtual
Speicherorganisation;storage organization;organisation de mémoire;;organización de almacén
Arbeitsbereich;work area;zone de travail;;área operativa
tatsächliche Adresse;real address;adresse réelle;;dirección real
Direktzugriffsspeicher;random access memory,RAM;mémoire à accès sélectif;memoria de acceso casual;v
physische Adresse;physical address;adresse physique;indirizzo fisico;dirección física
Festspeicher;read-only memory, ROM;mémoire à simple lecture;;memoria sólo lectura
Hauptspeicher;main / central memory;mémoire principale;;memoria principal
Speicherbank;memory bank;banque de mémoire;;banco de memoria
Zugriffsart;access mode / method;mode / méthode d'accès;;modo / método de acceso
Speichergröße;memory size;capacité de mémoire;;tamaño de la memoria
optischer Speicher;optical memory;mémoire optique;memoria ottica;memoria óptica
Speicherfähigkeit;memory/storage capacity;capacité d'enregistrement;;capacidad de memoria
relative Adresse;relative address;adresse relative;indirizzo relativo;dirección relativa
indirekte Adresse;indirect address;adresse indirecte;indirizzo indiretto;dirección indirecta
Eingabepuffer;input buffer;tampon d'entrée;;tampón de entrada
variable Adresse;variable address;adresse variable;indirizzo variabile;dirección variable
verfügbarer Speicher;available memory;mémoire disponible;memoria disponibile;memoria disponible
aufteilen;partition (v);segmenter;spartire, ripartire;segmentar
Speicherzuweisung;memory allocation;affectation de mémoire;;asignación de memoria
Speicherdichte;storage density;densité de mémoire;;densidad de almacenaje
virtuelle Adresse;virtual address;adresse virtuelle;indirizzo virtuale;dirección virtual
Mehrfachadressierung;multi-addressing;adressage multiple;;multidireccional
Pufferbereich;buffer area /stack;zone intermédiaire;;zona intermedia
unmittelbarer Zugriff;immediate access;accès immédiat;accesso immediato;acceso inmediato
begrenzte Kapazität;limited capacity;capacité limitée;capacità limitata;capacidad limitada
ungültige Adresse;invalid address;adresse invalide;;dirección inválida
Datei;file (s);fichier;file, archivio;fichero
Bezeichnung, Etikett;label (s);étiquette;etichetta;etiqueta
Erstellung;creation;création;creazione;creación
schließen;close (v);fermer;chiudere, terminare;cerrar
Dateiformat;file format;format de fichier;;formato fichero
Dateiname;file name;nom de fichier;;nombre del fichero
Dateigröße;file size;volume de fichier;;tamaño de un fichero
Dateiende;end of file, EOF;fin de fichier;;fin de fichero
eine Datei eröffnen;open a file;ouvrir un fichier;;abrir un fichero
Block;block (s);bloc;blocco;bloque
schreiben;write (v);écrire;scrivere;escribir
lesen;read (v);lire;leggere;leer
Zugriff;access (s);accès;accesso;acceso
Aufzeichnung;record (s);enregistrement;registrazione;registro
Suche;search (s);recherche;ricerca;búsqueda
speichern, abspeichern;store, memorize, poke;mémoriser;memorizzare;memorizar, almacenar
auslesen;peek, read out;extraire;selezionare;extraer, seleccionar
löschen;delete,erase,scratch,zap;effacer;cancellare;borrar
Schreibfehler;write error;erreur d'écriture;errore di scrittura;error escribiendo
Lesefehler;read error;erreur de lecture;errore di lettura;error de lectura
Lesegeschwindigkeit;reading speed / rate;vitesse de lecture;velocità di lettura;velocidad de lectura
Datenfehler;data error;erreur de données;;error de datos
Bits je Zoll;bits per inch;bits par pouce;;bits por pulgada
Sicherheit;security, safety;sécurité;sicurezza;seguridad
Passwort, Kennwort;password, code word;mot de passe;;palabra de paso
Verlust;loss (s);perte;perdita;pérdida
schützen;protect (v);protéger;proteggere;proteger
sicher;safe (a);sûr;sicuro;seguro
Schutz;protection;protection;protezione;protección
Wiedererstellung;regeneration;régénération;restauro;regeneración
wiedergewinnen;retrieve, recover (v);récupérer;ricuperare;recuperar
sichern;back up, save (v);préserver;proteggere;asegurar
kodieren;code (v);coder;codificare;codificar
unsicher;insecure, unsafe (a);peu sûr, incertain;poco sicuro, instabile;inseguro
Speicherschutz;storage protection;protection de la mémoire;;protección de almacén
Sicherungskopie;backup copy;copie de réserve;;copia de reserva
Datenschutz;data safety;protection des données;protezione dati;protección de los datos
Sicherheitsvorrichtung;safety device;dispositif de sécurité;dispositivo di sicurezza;dispositivo de seguridad
entschlüsseln;decrypt, decipher (v);déchiffrer;decifrare;decodificar
chiffrieren;encrypt (v);coder;cifrare;cifrar
verschlüsseln;scramble (v);brouiller;cifrare;cifrar
Rückgewinnung von Daten;information retrieval;récupération de données;;búsqueda de información
Drucker;printer;imprimante (f);stampatore;impresora
anschlagen;strike (v);frapper;toccare;golpear
Laserdrucker;laser printer;imprimante laser (f);stampa laser;impresora láser
Typenraddrucker;daisy wheel printer;imprimante à marguerites;;impresora de rueda
Thermoprinter;thermal printer;imprimante thermique;;impresora térmica
Nadeldrucker;matrix printer;imprimante matricielle;;impresora con matriz
Tintenstrahldrucker;inkjet printer;imprimante à jet d'encre;;impresora rayos color
serieller Drucker;serial printer;imprimante en série;stampatore seriale;impresora en serie
Matrixdrucker;dot-matrix printer;imprimante matricielle;;impresora matrix
Nadel;needle (s);aiguille;spilla;aguja
Behälter, Magazin;bin (s);case;recipiente;casilla
paralleles Druckerkabel;centronics cable;cable centronics;cavo parallelo;cable centronics
Druckerpuffer;printer buffer;mémoire tampon d'imprimante;;tampón de impresión
Einzelblattzuführung;sheet feed;alimentation en feuilles;;alimentación en hojas
Druckerfarbband;print ribbon;ruban d'impression;nastro (di stampa);cinta de impresora
Typenrad;print wheel, daisy wheel;roue d'impression;;rueda de impresión
Stachelwalze;tractor;entraîneur;;tractor
Format;format (s);format;formato;formato
Zeile;line (s);ligne;riga;línea
drucken;print (v);imprimer;stampare;imprimir
Schriftart;font;ensemble de caractères;scrittura;conjunto de caracteres
Rand;margin (s);marge;margine;margen
Spalte;column;colonne;colonna;columna
unterstreichen;underline (v);souligner;sottolineare;subrayar
etikettieren, bezeichnen;label (v);étiquetter;etichettare;etiquetar
grafisch;graphic(al);graphique;grafico;gráfico
Druckqualität;printing quality;qualité d'impression;qualità di stampa;calidad de impresión
Druckgeschwindigkeit;printing speed / rate;vitesse d'impression;velocità di stampa;velocidad de impresión
Korrespondenzqualität;letter quality;qualité courrier;qualità di lettera;calidad carta
Bildschirmausdruck;hard copy;;;copia impresa
Drucken im Hintergrund;background printing;impression du fond;;impresión del fondo
Zeilenende;end of line;fin de ligne;;fin de línea
Druckdatei;printer file;fichier d'imprimante;file di stampa;fichero de impresora
Zeilen anfügen;add lines;ajouter des lignes;aggiungere dei righi;suministrar líneas
Zeichen pro Sekunde;characters per second;caractères par seconde;;caracteres por segundo
Reihe;row, tier (s);rangée;fila, serie;hilera
ausrichten;align (v);aligner;allineare;alinear
linksbündig;left justified;aligné à gauche;;alineado a la izquierda
kursiv;in italics;en italique;corsivo;en (letra) cursiva
Kleinbuchstabe;small letter;lettre miniscule;(lettera) minuscola;letra minúscula
Lücke;gap, space (s);espace;vuoto;espacio, hueco
Schriftzeichen;character (s);caractère;carattere;carácter de escritura
Großbuchstabe;upper case character;lettre majuscule;maiuscola;carácter en mayúscula
Blockschrift;block letters;majuscules;scrittura in stampatello;carácteres de imprenta
Zeichenvorrat;character set;jeu de caractères;;juego de caracteres
Grafikzeichen;graphic character;caractère graphique;carattere grafico;carácter gráfico
Anführungszeichen;quotation mark;guillemets;virgolette;comillas
Fragezeichen;question mark;point d'interrogation;punto interrogativo;carácter d.interrogación
Schrägstrich;slash (s);barre de fraction;linea obliqua;barra de fracción
auffüllen (String);pad (v);remplir, garnir;riempire;llenar
Seite (Buch, Speicher);page (s);page (f);pagina;página
Tabelle;table (s);table;tabella;tabla
Blatt;sheet (s);feuille;foglio;hoja
Papier;paper (s);papier;carta;papel
Liste;list (s);liste;lista;lista
falten;fold (v);plier;piegare;plegar
zuführen, füttern;feed (v);alimenter;rifornire;alimentar
Endlospapier;endless paper;papier sans fin;;papel sin fin
kein Papier;paper out;fin de papier;;fin de papel
Formular;form (s);formulaire;modulo, formulario;formulario
papierlos;paperless (a);sans papier;;sin papel
Papierstau;paper jam;bourrage de papier;;atascamiento de papel
Papier zu Ende;out of paper;fin de papier;;fin de papel
Einheit;unit (s);unité;unità;unidad
seriell;serial (a);en série;in serie;en serie
parallel;parallel (a);paralèlle;parallelo;paralelo
Zubehör;accessory equipment;matériel auxiliaire;accessori;equipo accesorio
Schnittstelle;interface, port;prise;uscita;salida, ranura
Ausstattung;outfit (s);équipement;equipaggiamento;equipo
Gerät;device, apparatus;dispositif, unité;strumento, apparecchio;dispositivo, aparato
koppeln;couple (v);coupler;accoppiare;acoplar
eingebaut;built-in;incorporé;incorporato;incorporado
parallele Schnittstelle;parallel interface;prise paralèlle;uscita parallela;salida puerto paralelo
Datensicherungseinheit;backup unit;unité de réserve;unità backup;unidad de reserva
Datenspur;data track;piste de données;;pista de datos
Eingangskanal;input channel;canal d'entrée;;canal de entrada
digitalisieren;digitalize (v);convertir en numérique;;convertir en digitos
serielle Schnittstelle;serial port;prise serie;uscita serie;salida en serie
Standardschnittstelle;standard interface;interface standard;;ranura standard
serieller Zugriff;serial access;accès en série;accesso seriale;acceso en serie
Diskette;disk;disque;floppy disk;disco
Kopf;head (s);tête (de lecture);testa;cabeza (de lectura)
Spur;track (s);piste;pista;pista
Sektor;sector (s);secteur;settore;sector
Plattenkapazität;disk capacity;capacité d'un disque;memoria di disco;capacidad de un disco
einsteckbare Festplatte;hard card;carte disque dur;disco targhetta;disco tarjeta
Festplatte;hard disk;disque dur;disco duro;disco duro / disco fijo
Bildplatte;video disk;vdéodisque;videodisco;vídeo-disco
Schreibkopf;write head;tête d'écriture;testa di scrivere;cabeza de escritura
Wechselplatte;removable disk;disque interchangeable;disco smontabile ;disco cambiable
Lesekopf;read head;tête de lecture;testa di scrivere;cabeza de lectura
Plattengeschwindigkeit;disk speed;vitesse de disque;;velocidad de los discos
Spurendichte;track density;densité d'enregistrement;;densidad de trayecto
Diskette wechseln;change disk;changement de disque;;cambio de disco
Laufwerk;drive (s);dispositif;;mecanismo
falsche Diskette;invalid disk;disquette invalide;disco sbagliato;disco incorrecto
Schreibschutz;write protection;protection d'écriture;;protección de escritura
Platteneinheit;disk unit;unité à disques;;unidad con discos
Laufwerk nicht bereit;drive not ready;lecteur non prêt;unità non preparata;unidad no preparada
Diskette einlegen;insert disk;insérez la disqette;introdurre il disco;introduzca el diskette
Band;tape (s);bande;nastro;cinta
Nachspann;trailer;fin de bande;;fin de cinta
Magnetbandstation;streamer;station à bande magnétique;;estación banda magnética
Streifen;strip (s);bande;nastro, striscia;tira, cinta, banda
Spule;reel (s);bobine;bobina;carrete, bobina
zurückspulen;rewind (v);rebobiner;;rebobinar
leer, unbespielt;blank (a);blanc, vierge;bianco;blanco, virgen
Bandspur;tape track;piste de bande;pista;pista de cinta
Bandspule;tape reel;bobine de bande;bobina;bobina de cinta
Bandaufzeichnung;tape recording;enregistrement sur bande;registrazione su nastro;grabación en cinta
Magnetband;magnetic tape;bande magnétique;nastro magnetico;cinta magnética
Sicherungsband;backup tape;bande de réserve;;cinta de reserva
Mutterband;master tape;bande principale;;cinta principal
Bandgerät;tape recorder;enregistreur de bande;registratore a nastro;grabador de cinta
Bandantrieb;tape drive;dérouleur de bande;;unidad de cinta
abtasten, rastern;scan (v);explorer;esplorare;explorar
Maus;mouse;souris;topo;ratón
Farbstift, Bleistift;pencil (s);crayon;matita colorata;lápiz
kopieren;copy (v);copier;copiare;copiar
Schreibmaschine;typewriter;machine à écrire;macchina da scrivere;máquina de escribir
Zeichengerät, Plotter;plotter;traceur (de courbes);;trazador (de curvas)
Roboter;robot (s);robot;robot;robot
lochen;perforate, punch (v);perforer;perforare;perforar
optisch;optical (a);optique;ottico;óptico
serielles Kabel;serial cable;câble séquentiel;cavo serie;cable en serie
optische Platte;optical disc;disque optique (m);disco ottico;disco óptico
Lichtstift;light pen;photostyle;;marcador/lápiz luminoso
Lochkarte;punched card;carte perforée;scheda perforata;ficha perforada
Lochung;perforation;perforation;perforazione;perforación
Geschwindigkeit;speed (s);vitesse;velocità;velocidad
Erweiterung;expansion, extension;extension;espansione;expansión
erweitern;expand, extend (v);augmenter;espandere, ampliare;ampliar
Erweiterungskarte;option board;carte optionelle;;tarjeta opcional
Videoadapter;video card;carte graphique video;targhetta video;tarjeta video
Eingabe- / Ausgabekarte;i/o card;carte entrée/sortie;targhetta I/O;tarjeta entrada/salida
Multifunktionskarte;multifunction board;carte multifonction (f);carta multifunzionale;tarjeta multifunción
beschleunigen;accelerate, speed up;accélérer;accelerare;acelerar
Beschleunigungskarte;accelaration board;carte d'accélération;targhetta acceleratore;tarjeta aceleradora
auswechselbar;removable (a);amovible;intercambiabile;amovible, recambiable
Zeiger;pointer;pointeur;indicatore;indicador
Prozess;process (s);processus;processo;proceso
Aufgabe, Arbeit, Job;job, task (s);travail;incarico, funzione;trabajo, tarea
Rate;rate (s);taux;quota;tasa
System;system;système;sistema;sistema
Wartezeit;waiting time;temps d'attente;tempo d'attesa;tiempo de espera
Verzeichnis;directory;répertoire;lista, registro;directorio, repertorio
Umgebung;environment;environnement;ambiente;ambiente
Suchpfad;path (s);chemin, branche;;rama, camino
zeitliche Regulierung;timing (s);synchronisation;;regulación temporal
Zustand;status, state (s);état;stato;estado
Warteschlange;queue (s);file d'attente;;cola de espera
Zyklus, Kreislauf;cycle (s);cycle;ciclo;ciclo
Stapel;batch, stack (s);pile;;pila
Hintergrund;background;arrière-plan;sfondo;segundo plano
Art, Modus;mode (s);mode;modo;modo
Sitzung;session (s);session;seduta;sesión
prüfen, kontrollieren;check (v);contrôler, vérifier;controllare, verificare;controlar, verificar
regeln, steuern, leiten;control (v);contrôler;regolare;controlar
betriebsbereit;operational (a);opérationnel;operativo;operacional
Systemanalyse;systems analysis;analyse de systemes;analizzazione di sistemi;análisis de sistemas
Zugriffszeit;access time;temps d'accès;tempo d'accesso;tiempo de acceso
Prozesskontrolle;process control;contrôle de processus;controllo del processo;control de proceso
Stapelüberlauf;buffer overflow;dépassement de capacité;;tampón desbordado
Betriebssystem;operating system;systeme d'exploitation;sistema operativo;sistema operativo
Stapelprozess;batch process;traitement par lots;;proceso por lotes
Systemzustand;system status;mode de système;;status del sistema
Systemsteuerung;system control;contrôle du système;;control del sistema
Systemprogramm;system program;programme du système;;programa del sistema
Teilnehmerbetriebssystem;time-sharing system;système en temps partagé;;sistema en t. compartido
Systemebene;system level;niveau du système;;nivel del sistema
Plattenbetriebssystem;disk operating system;système de travail;;sistema operativo discos
Stapeldatei;batch file;fichier de travail;;fichero de trabajo
Hintergrundprogramm;background program;programme secondaire;;programa secundario
überwachen;supervise, control (v);superviser;sorvegliare;supervisar
verträglich;compatible (a);compatible;compatibile;compatible
vorübergehend, flüchtig;transient (a);transitoire;transitorio;transitorio, temporal
Hauptinhaltsverzeichnis;root directory;répertoire racine;;índice principal
Taktzyklus;clock cycle;cycle rythmeur;;ciclo de reloj
Zugriffskontrolle;access control;contrôle d'accès;;control de acceso
Fehler;error;erreur;errore;error
Meldung;message (s);message;notifica, iscrizione;mensaje
frei;free (a);libre;libero;libre
ohne;without;sans;senza;sin
nochmals drücken;press again;appuyer de nouveau;;apoyar de nuevo
nicht bereit;not ready;non prêt;;no pronto
gültig;valid (a);valide;valido;válido
System gestoppt;system halt;systeme arrêté;;sistema parado
falsches Datum;invalid date;date invalide;data sbagliata;fecha incorrecta
falscher Befehl;invalid command;commande invalide;comando sbagliato;orden incorrecta
Fehlermeldung;error message;message d'erreur;;mensaje de error
Fehler beim Laden;loading error;erreur de chargement;;error de carga
Zugriff abgelehnt;access denied;accès refusé;;acceso denegado
irgendeine Taste drücken;press any key;pressez une touche;premere qualsiasi tasto;pulse cualquier tecla
ohne System;no system;sans système;senza sistema;sin sistema
nicht verfügbar;not available;non disponible;;no disponible
keine Systemdiskette;no system disk;disque non système;;disco sin DOS
bereit;ready (a);prêt;pronto, disposto;pronto
Datum;date (s);date;data;fecha
Dienstag;Tuesday;mardi;martedì;Martes
Freitag;Friday;vendredi;venerdì;Viernes
Montag;Monday;lundi;lunedì;Lunes
Woche;week;semaine;settimana;semana
Sekunde;second (s);seconde;secondo;segundo
Zeit;time (s);temps;tempo;tiempo
neues Datum eingeben;enter new date;entrer nouvelle date;;introduzca nueva fecha
heutiges Datum;today's date;date du jour;data di oggi;fecha del día
Dauer;duration;durée;durata;duración
gemeinsam benutzen;share (v);utiliser en commun, partager;utilizzare in comune;compartir
versuchen;attempt (v);tenter, essayer;tentare;tentar
umbenennen;rename (v);renommer;cambiare il nome;cambiar el nombre
undatiert;undated (a);non daté;non datato;sin fecha
Benutzerebene;user level;niveau d'utilisateur;;nivel del usuario
Benutzeraufruf;user call;appel d'utilisateur;;llamada del usuario
aktuelles Datum;current date;date actuelle;data attuale;fecha actual / del día
aktuelle Uhrzeit;current time;heures actuelles;ora attuale;hora actual
Pause;pause, break;arrêt;pausa, fermata;pausa
Stopp, Halt;halt (s);arrêt;arresto;parada
weitermachen, fortsetzen;continue (v);continuer;continuare;continuar
starten;start (v);démarrer;partire, lanciare;arrancar, lanzar
laden;load (v);charger;caricare;cargar
anhalten;halt, stop (v);arrêter;fermare;parar
verlangsamen;slow down;ralentir;rallentare;lentificar, aminorar
laufen;run (v);procéder;marciare;marchar
schnell;fast, quick (a);rapide (a);rapido;rápido
automatisch;automatic, self-acting;automatique;automatico;automático
arbeitend;working (a);actif;lavorando;operando
langsam;slow (a);lent;lento;lento
passiv, untätig;passive (a);passif;passivo;pasivo
Zuweisung;allocation, assignment;affectation;assegnazione;asignación
Ausführung, Ablauf;execution;exécution;effettuazione;ejecución
Blockierung;deadlock (s);blocage;bloccaggio;bloqueo
Aufhängen;hang-up (s);arrêt imprévu;;parada imprevista
Wiederanlauf;restart (s);reprise;ripresa;nueva puesta en marcha
Unterbrechung;interrupt (s);interruption;interruzione;interrupción
durchführen;transact (v);exécuter, accomplir;eseguire;ejecutar
vorbereiten;prepare (v);préparer;preparare;preparar
ausführen;execute (v);exécuter;effettuare;ejecutar
verzögern;delay (v);retarder;ritardare;atrasar
sperren;lock (v);bloquer;bloccare;bloquear
unvorhergesehen;unexpected (a);imprévu;imprevisto;imprevisto
untätig;inactive (a);inactif;inattivo;inactivo
getrennt;separate (a);séparé;separato;separado
arbeitendes Programm;active program;programme actif;programma attiva;programa activo
fortlaufender Prozess;continuous process;processus continu;processo continuo;proceso continuo
Abbruch;abortion;rupture;interruzione;interrupción abortiva
zuweisen;allocate, assign (v);affecter;assegnare;asignar
gleichzeitg;concurrent, simultaneous;simultané;simultaneo;similtáneo
Blockzuweisung;block allocation;affectation de bloc;indicazione di blocchi;dispositivo de bloques
Programm;program (s);programme;programma;programa
Programmierer;programmer;programmeur (m);programmatore;programador
Null;zero, naught, null;zéro;zero;cero
Methode;method;méthode;metodo;método
organisieren;organize (v);organiser;organizzare;organizar
programmieren;program (v);programmer;programmare;programar
negativ;negative (a);négatif;negativo;negativo
nicht;not;non;non;no
Zeilennummer;line number;numéro de ligne;;número de línea
neue Zeile;new line;nouvelle ligne;riga nuova;nueva línea
Software;software;logiciel, programme;software;programas
Problemlösung;solution;solution (f);soluzione;solución
Struktur;structure (s);structure;struttura;estructura
Ursprung;source, origin (s);source;origine;origen
Ebene;level, rank (s);niveau;livello;nivel
Programmverzweigung;branch (s);embranchement;ramificazione;bifurcación
Entwicklung;development;développement;sviluppo;desarrollo
Schleife;loop (s);cycle, boucle;ciclo (di programma);ciclo, anilo
Prozedur, Programmteil;procedure (s);procédure;procedura;procedimiento
Satzbau, Syntax;syntax (s);syntaxe;sintassi;sintaxis
Baustein, Modul;module (s);module;modulo;módulo
einschließen, beinhalten;include (v);inclure;includere, comprendere;incluir
unverändert;unvaried, unaltered (a);inchangé (a);invariato;sin cambio
Standard-, normgerecht;preset, default,standard;pré-défini;;predefinido
echt;real, true (a);réel;reale;real
Programmiertechnik;program technique;technique de programmation;programmazione tecnica;técnica de programación
Ausgangssprache;source language;langage source;;lenguaje fuente
Standardprogramm;standard program;programme standard;programma standard;programa estándar
symbolische Sprache;symbolic language;langage symbolique;linguaggio simbolico;lenguaje simbólico
Operationsteil;operation code, opcode;code d'opération;codice di funzionamento;código de operaciones
aufrufendes Programm;calling program;programme d'appel;programma chiamare;programa de llamada
Programmende;end of program;fin de programme;fine del programma;fin de programa
negative Zahl;negative number;nombre négatif;numero negativo;número negativo
Maschinencode;machine / absolute code;code machine;;código máquina
Hauptprogramm;main program;programme principal;;programa principal
Programmname;program name;nom du programme;nome del programma;nombre del programa
symbolischer Name;symbolic name;nom symbolique;nome simbolico;nombre simbólico
Programmdatei;program file;fichier de programme;file del programma;fichero de programa
Programmbeschreibung;program description;description de programme;descrizione di programma;descripción de programa
in Cobol geschrieben;coded in Cobol;codé en Cobol;;codificado en Cobol
Unterprogramm;subroutine;sous-programme;;subrutina
Übergang;transition;transition;transizione;tránsito
Baukastenprinzip;modularity;modularité;sistema modulare;modularidad
verschieben;relocate (v);déplacer, replacer;spostare;reposicionar
sich selbst aufrufend;recursive (a);récursif;;recursivo, recurrente
verschachtelte Schleife;nested loop;boucle emboîtée;;ciclo encajado
Befehl;command (s);commande, directive;comando;mando, directive, orden
Aufruf;call (s);appel;chiamata;llamada
Sprung;jump (s);saut;;salto
aufrufen (Programm);call (v);appeler;chiamare;llamar
Kette, Befehlskette;chain (s);chaîne;catena;cadena
Rückkehr, Rücksprung;return (s);retour;ritorno;regreso
verlassen;quit (v);quitter;abbandonare;dejar
wiederholen;retry, repeat, replicate;répéter;ripetere;repetir, reintentar
überspringen;skip (v);sauter;saltare;omitir, saltar
verzweigen;branch (v);ramifier;ramificarsi;hacer una bifurcación
Befehl nicht erkannt;unknown command;commande inconnue;comando non appreso;orden no reconocida
Abkürzung;abbreviation;abréviation;abbreviazione;abreviatura
Umkehrung;inversion, reversal;inversion;inversione;inversión
